id,run,mapped_ms,settled_ms,pss_kb,cpu_s,child_pss_kb,thumbs_n,pss_anon_kb,uss_kb,drm_kb,thumbs_by_dir,cpu_tree_s,thumbs_by_format,ranked,preview_ms,cpu_reaped_s
thunar,3,538,12971,39549,7.23,61772,221,23672,27108,0,fail=0;large=0;normal=221,20.57,heic=0;jpg=0;mkv=37;mp4=148;png=0;txt=0;webm=36;webp=0;unknown=0,yes,-,20.36
pcmanfm,3,436,-1,40357,42.12,0,683,17284,29160,0,fail=0;large=0;normal=683,159.10,heic=0;jpg=0;mkv=100;mp4=400;png=83;txt=0;webm=100;webp=0;unknown=0,yes,-,106.78
nemo,3,1115,3451,56093,2.73,0,60,30500,44768,0,fail=0;large=60,9.89,heic=0;jpg=45;mkv=0;mp4=0;png=0;txt=0;webm=0;webp=15;unknown=0,yes,-,5.92
dolphin,3,738,14181,94414,5.35,0,500,40308,70320,0,fail=0;large=500,70.24,heic=0;jpg=50;mkv=75;mp4=300;png=0;txt=0;webm=75;webp=0;unknown=0,yes,-,68.69
strata,3,558,2920,75511,1.05,0,42,42424,69532,122384,fail=0;large=42,7.15,heic=0;jpg=0;mkv=7;mp4=28;png=0;txt=0;webm=7;webp=0;unknown=0,yes,-,1.26
yazi,3,295,2037,49903,0.31,0,n/a,33472,49704,0,fail=0;large=0,1.65,n/a,n/a: tui in kitty,133,1.17
mc,3,280,941,5503,0.04,0,n/a,3488,5220,0,fail=0;large=0,0.84,n/a,n/a: tui in kitty,-1,0.04
broot,3,301,523,4192,0.01,0,n/a,708,4164,0,fail=0;large=0,0.44,n/a,n/a: tui in kitty,-1,0.01
nnn,3,320,570,2577,0.02,0,n/a,1976,2488,0,fail=0;large=0,0.58,n/a,n/a: tui in kitty,131,0.02
lf,3,300,631,18253,0.15,0,n/a,15392,15996,0,fail=0;large=0,0.64,n/a,n/a: tui in kitty,133,0.15
ranger,3,294,939,29747,0.28,0,n/a,27076,27868,0,fail=0;large=0,0.76,n/a,n/a: tui in kitty,137,0.29
xplr,3,282,626,14282,0.18,0,n/a,9296,14220,0,fail=0;large=0,0.64,n/a,n/a: tui in kitty,-1,0.18
superfile,3,306,1773,157311,0.42,0,n/a,142612,157236,0,fail=0;large=0,1.40,n/a,n/a: tui in kitty,133,0.87
